#,TREATMENT,RPTA(bin),RPTA(true),Date,Pre-time,Post-time,GPS,Distance1,Distance2,NOTES,PB_spp,PB_code,Distance_treatment,lat,lon,Flock_name
1,THAARD1_20,1,1,27-08-25,8:48,8:57,PB002,11,21,JNC from birds,THAARD,1,20,-11.88030303,-71.404723,NaranjaRoj
2,MYRAXI2_30,0,0,27-08-25,9:45,X,PB003,8,18.9,Cfpre,MYRAXI,2,30,-11.88027604,-71.40661698,Blanca
3,CONTRL1_20,0,0,27-08-25,11:36,11:43,PB004,12,10.2,Cfpre,CONTRL,1,20,-11.88033203,-71.40109498,NA
4,CONTRL1_30,0,0,27-08-25,15:07,15:15,PB005,7,20.4,,CONTRL,1,30,-11.88339603,-71.40351702,Uy
5,THASCH8_20,1,3,27-08-25,15:56,16:08,PB006,4,10.9,,THASCH,8,20,-11.88797498,-71.40457498,Bebe
6,MYRAXI2_10,1,1,28-08-25,7:26,8:00,PB007,6,12.1,JNC from birds,MYRAXI,2,10,-11.88719102,-71.40590603,Bebe
7,THAARD7_20,1,1,28-08-25,10:41,10:50,PB008,12,12.7,,THAARD,7,20,-11.88713503,-71.40413602,Bebe
8,THASCH7_30,1,3,28-08-25,11:38,11:50,PB009,8,20.3,,THASCH,7,30,-11.87785903,-71.40234296,Adamelita
9,THASCH3_20,1,3,28-08-25,16:16,16:28,PB010,10,18.7,,THASCH,3,20,-11.87984303,-71.40474496,NaranjaRoj
10,THASCH7_10,1,3,29-08-25,6:06,6:19,PB011,8,10,JNC from birds,THASCH,7,10,-11.88638301,-71.40349899,DanielSan
11,CONTRL3_20,0,0,29-08-25,6:49,6:58,PB012,11,10.7,,CONTRL,3,20,-11.89359203,-71.41159499,Pecari
12,THAARD1_10,0,0,29-08-25,7:24,7:42,PB013,0,11,,THAARD,1,10,-11.89299398,-71.411683,Pecari
13,THAARD7_30,1,3,29-08-25,8:47,9:01,PB014,9,28.7,JNC from birds,THAARD,7,30,-11.89304997,-71.41111303,Pecari
14,MYRAXI2_20,1,3,29-08-25,9:26,9:49,PB015,14,21.7,JNC from birds,MYRAXI,2,20,-11.89280204,-71.41360204,Roja
15,MYRAXI1_30,0,0,29-08-25,10:22,10:49,PB016,10,20.2,,MYRAXI,1,30,-11.892279,-71.41394704,Roja
16,MYRAXI3_30,1,1,29-08-25,11:19,11:29,PB017,12,19.9,,MYRAXI,3,30,-11.89224598,-71.413769,Roja
17,CONTRL1_30,0,0,29-08-25,12:03,12:15,PB018,11,20.3,,CONTRL,1,30,-11.89307403,-71.41697399,xd
18,THAARD8_10,1,3,29-08-25,15:54,16:21,PB019,0,11.3,,THAARD,8,10,-11.89291402,-71.41665699,Platanal
19,MYRAXI3_30,1,1,29-08-25,16:45,16:56,PB020,14,18.7,,MYRAXI,3,30,-11.88718398,-71.40595296,Bebe
20,THAARD4_30,1,3,30-08-25,6:26,6:38,PB021,12,21.3,,THAARD,4,30,-11.88690101,-71.40585003,Bebe
21,THAARD3_40,0,0,30-08-25,5:05,7:20,PB022,15,30.3,,THAARD,3,40,-11.89239702,-71.41636899,Platanal
22,THAARD3_20,1,3,30-08-25,8:10,8:31,PB023,0,23.2,,THAARD,3,20,-11.89260699,-71.41566499,Platanal
23,THASCH2_20,1,1,30-08-25,16:48,16:58,PB024,13,12.4,,THASCH,2,20,-11.89195102,-71.41722503,Platanal
24,MYRAXI1_30,0,0,31-08-25,6:18,6:37,PB025,10,19.8,,MYRAXI,1,30,-11.87556398,-71.41024802,Flock5
25,THASCH7_20,1,3,31-08-25,7:00,7:15,PB026,12,10.5,,THASCH,7,20,-11.88753803,-71.40503598,Bebe
26,MYRAXI4_30,1,3,31-08-25,7:42,7:52,PB027,10,19.6,,MYRAXI,4,30,-11.887432,-71.40441899,Bebe
27,THAARD6_20,1,3,31-08-25,11:28,11:40,PB028,13,10.5,,THAARD,6,20,-11.887014,-71.40447297,Bebe
28,CONTRL5_40,0,0,01-09-25,6:45,7:04,PB029,11,29.2,,CONTRL,5,40,-11.88813801,-71.40446501,Bebe
29,MYRAXI3_10,1,3,01-09-25,7:31,7:37,PB030,14,13.2,JNC from birds,MYRAXI,3,10,-11.875696,-71.41102402,Flock5
30,THASCH6_40,1,1,01-09-25,8:01,8:08,PB031,16,23.3,,THASCH,6,40,-11.87586296,-71.411568,Flock5
31,THASCH7_40,1,1,01-09-25,8:32,8:52,PB032,12,25,,THASCH,7,40,-11.87580597,-71.41164302,Flock5
32,CONTRL6_30,0,0,01-09-25,9:22,9:55,PB033,14,20.7,,CONTRL,6,30,-11.87508697,-71.41173799,Flock5
33,MYRAXI1_40,1,1,01-09-25,10:34,10:42,PB034,12,26,,MYRAXI,1,40,-11.87416001,-71.40859402,Tigre
34,CONTRL5_20,0,0,01-09-25,11:10,11:21,PB035,13,11,,CONTRL,5,20,-11.87443703,-71.409138,Tigre
35,THASCH8_40,0,0,02-09-25,6:38,7:02,PB036,6,33,,THASCH,8,40,-11.87453502,-71.40894396,Tigre
36,CONTRL2_20,0,0,02-09-25,8:14,8:32,PB037,8,10.8,,CONTRL,2,20,-11.88635903,-71.40486298,DanielSan
37,CONTRL1_10,0,0,02-09-25,8:58,9:11,PB038,11,9.2,,CONTRL,1,10,-11.88336401,-71.403112,Uy
38,THAARD4_10,1,3,02-09-25,9:36,10:07,PB039,0,8.2,,THAARD,4,10,-11.88314801,-71.40366403,Uy
39,CONTRL3_40,0,0,02-09-25,11:16,11:32,PB040,16,24,,CONTRL,3,40,-11.882384,-71.40385699,Uy
40,THAARD6_30,1,2,02-09-25,12:00,12:15,PB041,11,22,,THAARD,6,30,-11.88812099,-71.40455503,Bebe
41,MYRAXI1_40,1,2,03-09-25,6:20,6:41,PB042,13,29,,MYRAXI,1,40,-11.88791002,-71.405399,Bebe
42,THAARD7_40,1,2,03-09-25,7:10,7:18,PB043,13,32,,THAARD,7,40,-11.89015604,-71.40681898,Calidad1
43,MYRAXI1_10,1,3,03-09-25,7:45,7:54,PB044,0,14,JNC from birds,MYRAXI,1,10,-11.889676,-71.40708804,Calidad1
44,THAARD2_40,0,0,03-09-25,8:22,8:48,PB045,10,26.2,,THAARD,2,40,-11.88952496,-71.40757604,Calidad1
45,THAARD5_40,0,0,03-09-25,9:18,9:35,PB046,6,33,,THAARD,5,40,-11.889632,-71.40728703,Calidad1
46,CONTRL1_10,0,0,03-09-25,10:02,10:07,PB047,10,11,JNC from birds,CONTRL,1,10,-11.889992,-71.407484,Calidad1
47,THASCH5_10,1,3,03-09-25,10:47,11:06,PB048,2,11,,THASCH,5,10,-11.89018001,-71.40750697,Calidad1
48,THAARD3_30,0,0,04-09-25,6:08,6:22,PB049,11,19,,THAARD,3,30,-11.88886799,-71.40589203,Bano
49,THASCH5_40,1,1,04-09-25,6:49,7:10,PB050,7,38,JNC from birds,THASCH,5,40,-11.88774599,-71.40612898,Bano
50,THASCH3_40,1,3,04-09-25,7:40,8:05,PB051,8,31.4,,THASCH,3,40,-11.88808696,-71.40614298,Bano
51,THAARD5_20,1,1,04-09-25,8:35,8:59,PB052,10,19,JNC from birds,THAARD,5,20,-11.888452,-71.40619,Bano
52,MYRAXI3_20,1,3,04-09-25,9:35,9:50,PB053,12,12,,MYRAXI,3,20,-11.88831101,-71.40588499,Bano
53,THASCH1_10,1,3,04-09-25,10:21,10:29,PB054,12,13,JNC from birds,THASCH,1,10,-11.88798403,-71.40573001,Bano
54,THASCH6_30,1,3,04-09-25,10:57,11:16,PB055,11,21.1,,THASCH,6,30,-11.88781899,-71.40614902,Bano
55,THAARD8_20,1,1,05-09-25,8:46,9:04,PB056,10,12,,THAARD,8,20,-11.88828796,-71.40636703,Bano
56,THAARD8_40,1,3,05-09-25,9:36,9:51,PB057,6,31,,THAARD,8,40,-11.876401,-71.40928502,Yulisa
57,MYRAXI3_10,0,0,05-09-25,10:21,10:38,PB058,0,12.8,,MYRAXI,3,10,-11.87680601,-71.40899702,Yulisa
58,MYRAXI4_20,0,0,05-09-25,11:02,11:13,PB059,8.7,11,,MYRAXI,4,20,-11.87608902,-71.408174,Yulisa
59,THAARD4_20,1,2,05-09-25,11:46,11:52,PB060,9.4,11.9,,THAARD,4,20,-11.87601501,-71.408505,Yulisa
60,MYRAXI4_10,0,0,06-09-25,6:36,7:22,PB061,0,14.9,,MYRAXI,4,10,-11.87663301,-71.40865001,Yulisa
61,MYRAXI1_20,1,3,06-09-25,7:49,8:06,PB062,7,12.5,,MYRAXI,1,20,-11.89216602,-71.41333197,Roja
62,MYRAXI2_40,1,3,06-09-25,10:29,10:37,PB063,13,28,,MYRAXI,2,40,-11.89177098,-71.41329803,Roja
63,THASCH8_30,0,0,06-09-25,11:03,11:24,PB064,12,20.4,,THASCH,8,30,-11.89292198,-71.412028,Pecari
64,MYRAXI3_40,1,3,06-09-25,11:53,12:02,PB065,9,27,,MYRAXI,3,40,-11.89352003,-71.41220997,Pecari
65,THASCH3_30,1,1,06-09-25,12:27,12:37,PB066,14,19,,THASCH,3,30,-11.89365498,-71.41203898,Pecari
66,THAARD4_40,1,2,07-09-25,6:03,6:43,PB067,0,37,JNC from birds,THAARD,4,40,-11.89000399,-71.40774501,Calidad1
67,THASCH2_40,0,0,07-09-25,7:36,7:49,PB068,5,28,,THASCH,2,40,-11.89049601,-71.405211,Calidad2
68,MYRAXI2_40,0,0,07-09-25,8:18,8:28,PB069,15,31,,MYRAXI,2,40,-11.89027498,-71.407886,Calidad1
69,THASCH2_10,1,2,07-09-25,8:57,9:06,PB070,8,10.6,JNC from birds,THASCH,2,10,-11.88997298,-71.40753597,Calidad1
70,THAARD6_40,1,1,07-09-25,9:40,9:47,PB071,14,21,,THAARD,6,40,-11.89007901,-71.40765298,Calidad1
71,THAARD5_30,1,1,07-09-25,10:16,10:54,PB072,6,28,,THAARD,5,30,-11.890222,-71.40773898,Calidad1
72,THAARD3_10,1,3,07-09-25,11:22,11:35,PB073,0,8.3,,THAARD,3,10,-11.89011304,-71.408045,Calidad1
73,THAARD7_10,1,3,07-09-25,11:59,12:28,PB074,0,12,,THAARD,7,10,-11.89020004,-71.40787996,Calidad1
74,THASCH4_20,1,3,08-09-25,6:29,6:46,PB075,0,22.5,,THASCH,4,20,-11.89029903,-71.40755701,Calidad1
75,THASCH1_30,0,0,08-09-25,7:22,7:35,PB076,12,27.5,JNC from birds,THASCH,1,30,-11.87073198,-71.41033201,Teresa
76,THASCH6_10,1,2,08-09-25,7:59,8:12,PB077,11,4,,THASCH,6,10,-11.87091496,-71.41083601,Teresa
77,MYRAXI1_20,1,3,08-09-25,8:37,8:54,PB078,8,15,,MYRAXI,1,20,-11.87068001,-71.41085403,Teresa
78,THASCH8_10,1,3,08-09-25,9:26,9:36,PB079,0,12.2,JNC from birds,THASCH,8,10,-11.87044004,-71.41037601,Teresa
79,THAARD2_20,1,3,08-09-25,10:07,10:16,PB080,19,4,,THAARD,2,20,-11.87011197,-71.41013302,Teresa
80,THASCH3_10,1,3,08-09-25,10:46,10:55,PB081,4,12,,THASCH,3,10,-11.86996303,-71.410461,Teresa
81,THASCH6_20,1,2,08-09-25,11:20,11:27,PB082,7,21,JNC from birds,THASCH,6,20,-11.87019696,-71.41039303,Teresa
82,THASCH1_20,1,3,08-09-25,11:48,11:57,PB083,10,12,,THASCH,1,20,-11.87007199,-71.41014299,Teresa
83,THASCH5_30,1,1,08-09-25,14:58,15:07,PB084,14,18.4,,THASCH,5,30,-11.87062503,-71.41001903,Teresa
84,MYRAXI2_30,1,4,08-09-25,15:26,15:34,PB085,12,22.4,,MYRAXI,2,30,-11.887144,-71.40682904,Shushupe
85,MYRAXI4_40,1,3,09-09-25,6:07,6:17,PB086,12,27,,MYRAXI,4,40,-11.88311297,-71.40431103,DanielSan
86,THAARD2_10,1,3,09-09-25,6:43,7:14,PB087,0,17,,THAARD,2,10,-11.885721,-71.40484496,DanielSan
87,MYRAXI4_40,0,0,09-09-25,7:40,7:55,PB088,16,27,,MYRAXI,4,40,-11.88576803,-71.40434196,DanielSan
88,MYRAXI2_20,0,0,09-09-25,8:25,9:23,PB089,9,20.3,JNC from birds,MYRAXI,2,20,-11.88574196,-71.40412596,DanielSan
89,MYRAXI3_40,0,0,09-09-25,9:50,10:01,PB090,18,23,,MYRAXI,3,40,-11.88571799,-71.40491101,DanielSan
90,THAARD5_10,1,1,09-09-25,10:26,10:50,PB091,0,16,,THAARD,5,10,-11.88621503,-71.40459602,DanielSan
91,THASCH2_30,0,0,10-09-25,6:57,7:03,PB092,10,21,,THASCH,2,30,-11.88600498,-71.40411003,DanielSan
92,THAARD6_10,1,3,10-09-25,7:27,7:57,PB093,0,12,,THAARD,6,10,-11.876689,-71.407958,Yulisa
93,THASCH4_30,1,1,10-09-25,8:26,8:42,PB094,10,22.2,,THASCH,4,30,-11.87636596,-71.40914798,Yulisa
94,THAARD1_30,0,0,10-09-25,09:13CF,9:19,PB095,5,25,,THAARD,1,30,-11.87630997,-71.40888303,Yulisa
95,THASCH4_40,0,0,10-09-25,9:43,9:59,PB096,12,28,,THASCH,4,40,-11.87677299,-71.40881002,Yulisa
96,THAARD8_30,1,1,10-09-25,10:18,10:39,PB097,8,21,,THAARD,8,30,-11.877078,-71.40881002,Yulisa
97,MYRAXI3_20,0,0,10-09-25,11:05,11:19,PB098,12,25,JNC from birds,MYRAXI,3,20,-11.87652002,-71.408605,Yulisa
98,THAARD2_30,1,2,10-09-25,11:44,11:52,PB099,19,30,JNC from birds,THAARD,2,30,-11.87631601,-71.40809496,Yulisa
99,THASCH5_20,1,1,10-09-25,13:46,13:54,PB100,12,22,JNC from birds,THASCH,5,20,-11.87650301,-71.40787602,Yulisa
100,MYRAXI1_10,1,3,10-09-25,14:17,14:30,PB101,9,5,,MYRAXI,1,10,-11.87613999,-71.41414703,Luvina
101,THASCH1_40,1,1,10-09-25,14:52,14:59,PB102,19,20.5,,THASCH,1,40,-11.87611601,-71.41396699,Luvina
102,MYRAXI2_40,1,1,10-09-25,15:31,15:52,PB103,18,24,,MYRAXI,2,40,-11.87617997,-71.41350699,Luvina
103,MYRAXI4_10,1,4,10-09-25,16:15,16:25,PB104,9,6,,MYRAXI,4,10,-11.87511999,-71.41279603,Luvina
104,THASCH4_10,1,2,11-09-25,6:17,6:49,PB105,0,11,,THASCH,4,10,-11.87495604,-71.41237903,Luvina
105,MYRAXI4_20,1,1,11-09-25,7:07,7:28,PB106,8,16,,MYRAXI,4,20,-11.88696697,-71.40682904,Shushupe
106,CONTRL1_40,0,0,12-09-25,7:09,7:16,PB107,14,25,,CONTRL,1,40,-11.88722396,-71.40696701,Shushupe
107,CONTRL2_10,0,0,12-09-25,7:41,7:57,PB108,0,12,,CONTRL,2,10,-11.88707099,-71.40738602,Shushupe
108,THAARD1_40,1,1,13-09-25,7:51,8:08,PB109,11,35,JNC from birds,THAARD,1,40,-11.88571799,-71.40537201,DanielSan
109,MYRAXI2_10,1,3,13-09-25,10:05,10:25,PB110,0,8,JNC from birds,MYRAXI,2,10,-11.88782402,-71.40682996,Bano
